lambda_in (m),xabs1,xabs2,xabs3,xabs4
0.0000004,6.4744E-23,6.4678E-23,3.941E-23,3.9283E-23
0.000000405,6.4051E-23,6.3984E-23,3.8938E-23,3.881E-23
0.00000041,6.3354E-23,6.3287E-23,3.8522E-23,3.8392E-23
0.000000415,6.2622E-23,6.2555E-23,3.8106E-23,3.7974E-23
0.00000042,6.1835E-23,6.1768E-23,3.7692E-23,3.7559E-23
0.000000425,6.102E-23,6.0954E-23,3.7308E-23,3.7173E-23
0.00000043,6.021E-23,6.0144E-23,3.6976E-23,3.684E-23
0.000000435,5.9424E-23,5.9358E-23,3.6827E-23,3.6689E-23
0.00000044,5.8647E-23,5.8582E-23,3.6946E-23,3.6806E-23
0.000000445,5.7864E-23,5.7799E-23,3.7206E-23,3.7063E-23
0.00000045,5.706E-23,5.6997E-23,3.7466E-23,3.732E-23
0.000000455,5.6158E-23,5.6096E-23,3.7647E-23,3.7499E-23
0.00000046,5.5126E-23,5.5066E-23,3.7827E-23,3.7678E-23
0.000000465,5.4134E-23,5.4076E-23,3.8059E-23,3.7909E-23
0.00000047,5.3347E-23,5.3291E-23,3.8406E-23,3.8254E-23
0.000000475,5.2844E-23,5.279E-23,3.9058E-23,3.8901E-23
0.00000048,5.2493E-23,5.244E-23,4.031E-23,4.0146E-23
0.000000485,5.2262E-23,5.2209E-23,4.2103E-23,4.1929E-23
0.00000049,5.2131E-23,5.2078E-23,4.4344E-23,4.4157E-23
0.000000495,5.2084E-23,5.2031E-23,4.6913E-23,4.6711E-23
0.0000005,5.2354E-23,5.2298E-23,4.9907E-23,4.9683E-23
0.000000505,5.3059E-23,5.2994E-23,5.3294E-23,5.3032E-23
0.00000051,5.3425E-23,5.3345E-23,5.5833E-23,5.5517E-23
0.000000515,5.2688E-23,5.2594E-23,5.6011E-23,5.5636E-23
0.00000052,5.0799E-23,5.0694E-23,5.3382E-23,5.2958E-23
0.000000525,4.8449E-23,4.8345E-23,4.8939E-23,4.8484E-23
0.00000053,4.5804E-23,4.5706E-23,4.3232E-23,4.2759E-23
0.000000535,4.3247E-23,4.3163E-23,3.7169E-23,3.6689E-23
0.00000054,4.1054E-23,4.0991E-23,3.1473E-23,3.0993E-23
0.000000545,3.9311E-23,3.9273E-23,2.6525E-23,2.605E-23
0.00000055,3.7927E-23,3.7918E-23,2.2419E-23,2.1952E-23
0.000000555,3.6853E-23,3.6876E-23,1.8982E-23,1.8524E-23
0.00000056,3.6093E-23,3.6153E-23,1.6091E-23,1.5643E-23
0.000000565,3.5642E-23,3.5743E-23,1.3669E-23,1.3233E-23
0.00000057,3.5509E-23,3.5656E-23,1.1646E-23,1.1223E-23
0.000000575,3.5716E-23,3.5914E-23,9.9598E-24,9.552E-24
0.00000058,3.6309E-23,3.6562E-23,8.5554E-24,8.1647E-24
0.000000585,3.7346E-23,3.766E-23,7.3843E-24,7.013E-24
0.00000059,3.8846E-23,3.9226E-23,6.3961E-24,6.0467E-24
0.000000595,4.0838E-23,4.1289E-23,5.5618E-24,5.2368E-24
0.0000006,4.3351E-23,4.3877E-23,4.856E-24,4.5575E-24
0.000000605,4.6422E-23,4.7027E-23,4.257E-24,3.9869E-24
0.00000061,5.0087E-23,5.0772E-23,3.7457E-24,3.5055E-24
0.000000615,5.4368E-23,5.5132E-23,3.3071E-24,3.0978E-24
0.00000062,5.9267E-23,6.0109E-23,2.9251E-24,2.7466E-24
0.000000625,6.4848E-23,6.5766E-23,2.5823E-24,2.4342E-24
0.00000063,7.1383E-23,7.2377E-23,2.2765E-24,2.1576E-24
0.000000635,7.9309E-23,8.0376E-23,2.0072E-24,1.9157E-24
0.00000064,8.9266E-23,9.0408E-23,1.7733E-24,1.7071E-24
0.000000645,1.0227E-22,1.0349E-22,1.5738E-24,1.5304E-24
0.00000065,1.1994E-22,1.2125E-22,1.4077E-24,1.3846E-24
0.000000655,1.4485E-22,1.4625E-22,1.2739E-24,1.2684E-24
0.00000066,1.8128E-22,1.8281E-22,1.171E-24,1.1807E-24
0.000000665,2.3402E-22,2.3571E-22,1.0862E-24,1.1086E-24
0.00000067,3.1062E-22,3.1251E-22,1.0104E-24,1.0433E-24
0.000000675,4.236E-22,4.2576E-22,9.4272E-25,9.8396E-25
0.00000068,5.8697E-22,5.8944E-22,8.822E-25,9.3007E-25
0.000000685,7.9674E-22,7.9948E-22,8.2818E-25,8.812E-25
0.00000069,9.7939E-22,9.8209E-22,7.7997E-25,8.3687E-25
0.000000695,9.9285E-22,9.9502E-22,7.3698E-25,7.9671E-25
0.0000007,8.2073E-22,8.2214E-22,6.9869E-25,7.604E-25
0.000000705,6.0305E-22,6.0385E-22,6.6467E-25,7.2764E-25
0.00000071,4.302E-22,4.3063E-22,6.3463E-25,6.9829E-25
0.000000715,3.114E-22,3.1163E-22,6.0813E-25,6.7202E-25
0.00000072,2.3197E-22,2.321E-22,5.845E-25,6.4825E-25
0.000000725,1.7802E-22,1.781E-22,5.6329E-25,6.2659E-25
0.00000073,1.4038E-22,1.4043E-22,5.4404E-25,6.0667E-25
0.000000735,1.1332E-22,1.1336E-22,5.2637E-25,5.8813E-25
0.00000074,9.3317E-23,9.3346E-23,5.0993E-25,5.7068E-25
0.000000745,7.812E-23,7.8146E-23,4.9445E-25,5.5408E-25
