lambda_in (m),xabs1,xabs2,xabs3,xabs4
0.0000004,6.3325E-23,6.326E-23,3.8536E-23,3.8409E-23
0.000000405,6.2644E-23,6.258E-23,3.8074E-23,3.7946E-23
0.00000041,6.1961E-23,6.1896E-23,3.7665E-23,3.7535E-23
0.000000415,6.1245E-23,6.118E-23,3.7256E-23,3.7125E-23
0.00000042,6.0476E-23,6.0412E-23,3.685E-23,3.6718E-23
0.000000425,5.9681E-23,5.9617E-23,3.6472E-23,3.6338E-23
0.00000043,5.889E-23,5.8827E-23,3.6144E-23,3.6009E-23
0.000000435,5.8123E-23,5.806E-23,3.5991E-23,3.5854E-23
0.00000044,5.7364E-23,5.7301E-23,3.6094E-23,3.5955E-23
0.000000445,5.6598E-23,5.6536E-23,3.6331E-23,3.6189E-23
0.00000045,5.5813E-23,5.5751E-23,3.6567E-23,3.6422E-23
0.000000455,5.4933E-23,5.4873E-23,3.6728E-23,3.6581E-23
0.00000046,5.3928E-23,5.387E-23,3.6888E-23,3.674E-23
0.000000465,5.2961E-23,5.2905E-23,3.7097E-23,3.6947E-23
0.00000047,5.2189E-23,5.2135E-23,3.7414E-23,3.7262E-23
0.000000475,5.1688E-23,5.1636E-23,3.802E-23,3.7864E-23
0.00000048,5.1327E-23,5.1276E-23,3.9191E-23,3.9028E-23
0.000000485,5.1073E-23,5.1023E-23,4.0868E-23,4.0695E-23
0.00000049,5.0906E-23,5.0856E-23,4.2958E-23,4.2773E-23
0.000000495,5.0809E-23,5.0759E-23,4.5345E-23,4.5146E-23
0.0000005,5.1003E-23,5.0951E-23,4.8114E-23,4.7894E-23
0.000000505,5.1601E-23,5.1541E-23,5.1231E-23,5.0974E-23
0.00000051,5.1881E-23,5.1808E-23,5.3548E-23,5.3241E-23
0.000000515,5.1147E-23,5.106E-23,5.3689E-23,5.3326E-23
0.00000052,4.9365E-23,4.9269E-23,5.1253E-23,5.0841E-23
0.000000525,4.7173E-23,4.7077E-23,4.7132E-23,4.6689E-23
0.00000053,4.4705E-23,4.4615E-23,4.1809E-23,4.1346E-23
0.000000535,4.2306E-23,4.2229E-23,3.611E-23,3.5637E-23
0.00000054,4.0231E-23,4.0174E-23,3.0709E-23,3.0235E-23
0.000000545,3.8564E-23,3.8531E-23,2.5981E-23,2.551E-23
0.00000055,3.7226E-23,3.722E-23,2.2031E-23,2.1565E-23
0.000000555,3.6176E-23,3.6201E-23,1.8705E-23,1.8246E-23
0.00000056,3.5421E-23,3.5482E-23,1.5894E-23,1.5443E-23
0.000000565,3.4959E-23,3.506E-23,1.3528E-23,1.3088E-23
0.00000057,3.48E-23,3.4945E-23,1.1546E-23,1.1118E-23
0.000000575,3.4966E-23,3.516E-23,9.889E-24,9.4746E-24
0.00000058,3.5498E-23,3.5745E-23,8.5054E-24,8.107E-24
0.000000585,3.645E-23,3.6757E-23,7.3492E-24,6.9692E-24
0.00000059,3.7838E-23,3.8207E-23,6.3719E-24,6.013E-24
0.000000595,3.9683E-23,4.0118E-23,5.5457E-24,5.2103E-24
0.0000006,4.2006E-23,4.2511E-23,4.8457E-24,4.5362E-24
0.000000605,4.4835E-23,4.5412E-23,4.251E-24,3.9695E-24
0.00000061,4.8191E-23,4.884E-23,3.7428E-24,3.4909E-24
0.000000615,5.2084E-23,5.2801E-23,3.3066E-24,3.0853E-24
0.00000062,5.6497E-23,5.7281E-23,2.9262E-24,2.7358E-24
0.000000625,6.147E-23,6.2315E-23,2.5846E-24,2.4247E-24
0.00000063,6.7222E-23,6.8123E-23,2.2797E-24,2.1492E-24
0.000000635,7.4097E-23,7.5049E-23,2.011E-24,1.9083E-24
0.00000064,8.2583E-23,8.3582E-23,1.7775E-24,1.7005E-24
0.000000645,9.3427E-23,9.4469E-23,1.5781E-24,1.5244E-24
0.00000065,1.0775E-22,1.0883E-22,1.412E-24,1.3792E-24
0.000000655,1.2718E-22,1.283E-22,1.2781E-24,1.2635E-24
0.00000066,1.5413E-22,1.5529E-22,1.175E-24,1.1762E-24
0.000000665,1.9028E-22,1.9146E-22,1.09E-24,1.1045E-24
0.00000067,2.3743E-22,2.3863E-22,1.0141E-24,1.0395E-24
0.000000675,2.9738E-22,2.9859E-22,9.4618E-25,9.8056E-25
0.00000068,3.6839E-22,3.6955E-22,8.8546E-25,9.2697E-25
0.000000685,4.3974E-22,4.4078E-22,8.3125E-25,8.7837E-25
0.00000069,4.8842E-22,4.8924E-22,7.8285E-25,8.3429E-25
0.000000695,4.9015E-22,4.9069E-22,7.3968E-25,7.9436E-25
0.0000007,4.4302E-22,4.4331E-22,7.0123E-25,7.5825E-25
0.000000705,3.7009E-22,3.7019E-22,6.6706E-25,7.2569E-25
0.00000071,2.9652E-22,2.9651E-22,6.3687E-25,6.965E-25
0.000000715,2.346E-22,2.3454E-22,6.1025E-25,6.7039E-25
0.00000072,1.864E-22,1.8632E-22,5.865E-25,6.4675E-25
0.000000725,1.4985E-22,1.4977E-22,5.6518E-25,6.2523E-25
0.00000073,1.2223E-22,1.2216E-22,5.4582E-25,6.0541E-25
0.000000735,1.0118E-22,1.0112E-22,5.2805E-25,5.8698E-25
0.00000074,8.492E-23,8.487E-23,5.1153E-25,5.6962E-25
0.000000745,7.2144E-23,7.2105E-23,4.9597E-25,5.5312E-25
0.00000075,6.1949E-23,6.1919E-23,4.8113E-25,5.3723E-25
0.000000755,5.3708E-23,5.3686E-23,4.6678E-25,5.2176E-25
0.00000076,4.6974E-23,4.6959E-23,4.5312E-25,5.0693E-25
0.000000765,4.1454E-23,4.1445E-23,4.4061E-25,4.9323E-25
0.00000077,3.6877E-23,3.6873E-23,4.2913E-25,4.8055E-25
0.000000775,3.3054E-23,3.3055E-23,4.1846E-25,4.6866E-25
0.00000078,2.9814E-23,2.9818E-23,4.0845E-25,4.5743E-25
0.000000785,2.7038E-23,2.7045E-23,3.9895E-25,4.4672E-25
0.00000079,2.4643E-23,2.4653E-23,3.8982E-25,4.364E-25
0.000000795,2.2555E-23,2.2566E-23,3.8099E-25,4.2639E-25
0.0000008,2.072E-23,2.0734E-23,3.7234E-25,4.1658E-25
0.000000805,1.9094E-23,1.9109E-23,3.6378E-25,4.0689E-25
0.00000081,1.7641E-23,1.7658E-23,3.5525E-25,3.9724E-25
0.000000815,1.6337E-23,1.6354E-23,3.4667E-25,3.8757E-25
0.00000082,1.5153E-23,1.517E-23,3.3801E-25,3.7785E-25
0.000000825,1.4077E-23,1.4095E-23,3.2925E-25,3.6805E-25
0.00000083,1.3098E-23,1.3116E-23,3.2058E-25,3.5837E-25
0.000000835,1.2208E-23,1.2227E-23,3.1202E-25,3.4883E-25
0.00000084,1.1397E-23,1.1416E-23,3.0365E-25,3.395E-25
0.000000845,1.0658E-23,1.0677E-23,2.955E-25,3.3042E-25
0.00000085,9.985E-24,1.0004E-23,2.8761E-25,3.2163E-25
0.000000855,9.372E-24,9.3912E-24,2.8E-25,3.1316E-25
0.00000086,8.8142E-24,8.8334E-24,2.7272E-25,3.0503E-25
0.000000865,8.3041E-24,8.3232E-24,2.6577E-25,2.9727E-25
0.00000087,7.8416E-24,7.8605E-24,2.5918E-25,2.8989E-25
0.000000875,7.42E-24,7.4387E-24,2.5296E-25,2.829E-25
0.00000088,7.0365E-24,7.0551E-24,2.4714E-25,2.7635E-25
0.000000885,6.6879E-24,6.7063E-24,2.417E-25,2.702E-25
0.00000089,6.3716E-24,6.3898E-24,2.3667E-25,2.6449E-25
0.000000895,6.0853E-24,6.1033E-24,2.3212E-25,2.5927E-25
0.0000009,5.8326E-24,5.8504E-24,2.282E-25,2.5472E-25
0.000000905,5.6073E-24,5.6249E-24,2.2489E-25,2.5078E-25
0.00000091,5.4058E-24,5.4232E-24,2.2206E-25,2.4737E-25
0.000000915,5.2248E-24,5.242E-24,2.1966E-25,2.4439E-25
0.00000092,5.0604E-24,5.0774E-24,2.176E-25,2.4178E-25
0.000000925,4.9108E-24,4.9276E-24,2.1584E-25,2.3948E-25
0.00000093,4.7727E-24,4.7893E-24,2.1429E-25,2.3741E-25
0.000000935,4.6444E-24,4.6608E-24,2.129E-25,2.3552E-25
0.00000094,4.5242E-24,4.5404E-24,2.1164E-25,2.3377E-25
0.000000945,4.4108E-24,4.4267E-24,2.1045E-25,2.3211E-25
0.00000095,4.3025E-24,4.3183E-24,2.0929E-25,2.3048E-25
0.000000955,4.1983E-24,4.2138E-24,2.0812E-25,2.2886E-25
0.00000096,4.0975E-24,4.1128E-24,2.0691E-25,2.2722E-25
0.000000965,3.9986E-24,4.0136E-24,2.0561E-25,2.255E-25
0.00000097,3.9015E-24,3.9164E-24,2.0422E-25,2.2369E-25
0.000000975,3.805E-24,3.8196E-24,2.0269E-25,2.2176E-25
0.00000098,3.7091E-24,3.7235E-24,2.01E-25,2.1968E-25
0.000000985,3.6129E-24,3.6271E-24,1.9914E-25,2.1744E-25
0.00000099,3.519E-24,3.5329E-24,1.9721E-25,2.1513E-25
0.000000995,3.4274E-24,3.4411E-24,1.9525E-25,2.1281E-25
0.000001,3.3386E-24,3.3521E-24,1.9328E-25,2.1049E-25
