lambda_in (m),xabs1,xabs2,xabs3,xabs4
0.0000004,5.0398E-23,5.0369E-23,3.4348E-23,3.4239E-23
0.000000405,4.9823E-23,4.9793E-23,3.3923E-23,3.3812E-23
0.00000041,4.9247E-23,4.9218E-23,3.3531E-23,3.3419E-23
0.000000415,4.8663E-23,4.8634E-23,3.3143E-23,3.3029E-23
0.00000042,4.8059E-23,4.803E-23,3.2759E-23,3.2643E-23
0.000000425,4.7445E-23,4.7416E-23,3.2393E-23,3.2276E-23
0.00000043,4.6834E-23,4.6806E-23,3.2059E-23,3.194E-23
0.000000435,4.6223E-23,4.6195E-23,3.1824E-23,3.1704E-23
0.00000044,4.5593E-23,4.5567E-23,3.1731E-23,3.161E-23
0.000000445,4.495E-23,4.4926E-23,3.1709E-23,3.1586E-23
0.00000045,4.4301E-23,4.4279E-23,3.1683E-23,3.1559E-23
0.000000455,4.3617E-23,4.3596E-23,3.1614E-23,3.1488E-23
0.00000046,4.287E-23,4.2852E-23,3.1539E-23,3.1412E-23
0.000000465,4.2138E-23,4.2122E-23,3.1487E-23,3.136E-23
0.00000047,4.1495E-23,4.1482E-23,3.1491E-23,3.1363E-23
0.000000475,4.0961E-23,4.0952E-23,3.1638E-23,3.1508E-23
0.00000048,4.0429E-23,4.0423E-23,3.2039E-23,3.1907E-23
0.000000485,3.9879E-23,3.9878E-23,3.2633E-23,3.2499E-23
0.00000049,3.9302E-23,3.9307E-23,3.3346E-23,3.321E-23
0.000000495,3.8694E-23,3.8707E-23,3.4102E-23,3.3963E-23
0.0000005,3.8141E-23,3.816E-23,3.491E-23,3.4767E-23
0.000000505,3.764E-23,3.7666E-23,3.5712E-23,3.556E-23
0.00000051,3.6926E-23,3.6957E-23,3.6088E-23,3.592E-23
0.000000515,3.5841E-23,3.5876E-23,3.5661E-23,3.547E-23
0.00000052,3.452E-23,3.4559E-23,3.4412E-23,3.4197E-23
0.000000525,3.324E-23,3.328E-23,3.2645E-23,3.2404E-23
0.00000053,3.1868E-23,3.191E-23,3.0366E-23,3.0096E-23
0.000000535,3.0453E-23,3.0496E-23,2.7761E-23,2.7462E-23
0.00000054,2.9051E-23,2.9097E-23,2.5046E-23,2.4719E-23
0.000000545,2.7701E-23,2.7751E-23,2.2409E-23,2.2055E-23
0.00000055,2.6398E-23,2.6456E-23,1.9972E-23,1.9593E-23
0.000000555,2.5155E-23,2.522E-23,1.7729E-23,1.7327E-23
0.00000056,2.3994E-23,2.4069E-23,1.5677E-23,1.5254E-23
0.000000565,2.2931E-23,2.3017E-23,1.3827E-23,1.3384E-23
0.00000057,2.1978E-23,2.2074E-23,1.2179E-23,1.1719E-23
0.000000575,2.1143E-23,2.1251E-23,1.0726E-23,1.0251E-23
0.00000058,2.0436E-23,2.0555E-23,9.4552E-24,8.9701E-24
0.000000585,1.9861E-23,1.999E-23,8.3508E-24,7.8586E-24
0.00000059,1.9389E-23,1.9526E-23,7.3844E-24,6.8896E-24
0.000000595,1.9002E-23,1.9144E-23,6.542E-24,6.0491E-24
0.0000006,1.8682E-23,1.8825E-23,5.8091E-24,5.323E-24
0.000000605,1.8408E-23,1.8548E-23,5.1715E-24,4.6973E-24
0.00000061,1.816E-23,1.8291E-23,4.6152E-24,4.1576E-24
0.000000615,1.7913E-23,1.8031E-23,4.1284E-24,3.6918E-24
0.00000062,1.7637E-23,1.7736E-23,3.6963E-24,3.2844E-24
0.000000625,1.7295E-23,1.7371E-23,3.3016E-24,2.9173E-24
0.00000063,1.6903E-23,1.6953E-23,2.9436E-24,2.589E-24
0.000000635,1.6487E-23,1.6506E-23,2.6234E-24,2.2998E-24
0.00000064,1.6074E-23,1.6062E-23,2.3412E-24,2.0489E-24
0.000000645,1.5699E-23,1.5655E-23,2.0971E-24,1.8358E-24
0.00000065,1.54E-23,1.5324E-23,1.8913E-24,1.6599E-24
0.000000655,1.5218E-23,1.5112E-23,1.7232E-24,1.5202E-24
0.00000066,1.5197E-23,1.5063E-23,1.5923E-24,1.4157E-24
