lambda_in (m),xabs1,xabs2,xabs3,xabs4
0.0000004,6.1992E-23,6.1929E-23,3.7752E-23,3.7627E-23
0.000000405,6.1324E-23,6.1261E-23,3.7299E-23,3.7171E-23
0.00000041,6.0653E-23,6.059E-23,3.6896E-23,3.6767E-23
0.000000415,5.9952E-23,5.9889E-23,3.6494E-23,3.6364E-23
0.00000042,5.92E-23,5.9137E-23,3.6095E-23,3.5963E-23
0.000000425,5.8423E-23,5.8361E-23,3.5723E-23,3.559E-23
0.00000043,5.7651E-23,5.759E-23,3.5399E-23,3.5265E-23
0.000000435,5.6902E-23,5.684E-23,3.5242E-23,3.5106E-23
0.00000044,5.6159E-23,5.6098E-23,3.533E-23,3.5191E-23
0.000000445,5.541E-23,5.5349E-23,3.5545E-23,3.5403E-23
0.00000045,5.4641E-23,5.4582E-23,3.576E-23,3.5616E-23
0.000000455,5.3782E-23,5.3724E-23,3.5902E-23,3.5756E-23
0.00000046,5.2803E-23,5.2747E-23,3.6043E-23,3.5895E-23
0.000000465,5.186E-23,5.1806E-23,3.623E-23,3.6081E-23
0.00000047,5.1103E-23,5.1051E-23,3.652E-23,3.6369E-23
0.000000475,5.0604E-23,5.0554E-23,3.7083E-23,3.6928E-23
0.00000048,5.0233E-23,5.0184E-23,3.8181E-23,3.802E-23
0.000000485,4.9958E-23,4.991E-23,3.9752E-23,3.9581E-23
0.00000049,4.9758E-23,4.9711E-23,4.1705E-23,4.1523E-23
0.000000495,4.9617E-23,4.957E-23,4.3927E-23,4.3731E-23
0.0000005,4.9743E-23,4.9695E-23,4.6493E-23,4.6277E-23
0.000000505,5.0243E-23,5.0187E-23,4.9366E-23,4.9116E-23
0.00000051,5.0443E-23,5.0377E-23,5.1484E-23,5.1186E-23
0.000000515,4.9708E-23,4.9629E-23,5.159E-23,5.1237E-23
0.00000052,4.8017E-23,4.793E-23,4.932E-23,4.892E-23
0.000000525,4.5962E-23,4.5874E-23,4.5484E-23,4.5053E-23
0.00000053,4.3648E-23,4.3565E-23,4.0507E-23,4.0054E-23
0.000000535,4.1387E-23,4.1317E-23,3.5138E-23,3.4673E-23
0.00000054,3.9414E-23,3.9362E-23,3.0009E-23,2.954E-23
0.000000545,3.7811E-23,3.7782E-23,2.5485E-23,2.5017E-23
0.00000055,3.6508E-23,3.6505E-23,2.1679E-23,2.1214E-23
0.000000555,3.5471E-23,3.5499E-23,1.8456E-23,1.7997E-23
0.00000056,3.4711E-23,3.4774E-23,1.5719E-23,1.5267E-23
0.000000565,3.4229E-23,3.433E-23,1.3407E-23,1.2963E-23
0.00000057,3.4033E-23,3.4176E-23,1.1462E-23,1.1029E-23
0.000000575,3.4145E-23,3.4335E-23,9.8317E-24,9.4111E-24
0.00000058,3.4603E-23,3.4844E-23,8.467E-24,8.0612E-24
0.000000585,3.5455E-23,3.5752E-23,7.3242E-24,6.9358E-24
0.00000059,3.6711E-23,3.7067E-23,6.3566E-24,5.9883E-24
0.000000595,3.8384E-23,3.8803E-23,5.5372E-24,5.1917E-24
0.0000006,4.0489E-23,4.0972E-23,4.8421E-24,4.5219E-24
0.000000605,4.3042E-23,4.3588E-23,4.2509E-24,3.9581E-24
0.00000061,4.6048E-23,4.6658E-23,3.7452E-24,3.4817E-24
0.000000615,4.9503E-23,5.0171E-23,3.3107E-24,3.0776E-24
0.00000062,5.3375E-23,5.4096E-23,2.9315E-24,2.7292E-24
0.000000625,5.7672E-23,5.844E-23,2.5908E-24,2.419E-24
0.00000063,6.2562E-23,6.3369E-23,2.2863E-24,2.1442E-24
0.000000635,6.8297E-23,6.9135E-23,2.0178E-24,1.9038E-24
0.00000064,7.5228E-23,7.6087E-23,1.7843E-24,1.6964E-24
0.000000645,8.3861E-23,8.4732E-23,1.5848E-24,1.5208E-24
0.00000065,9.4916E-23,9.5788E-23,1.4185E-24,1.3758E-24
0.000000655,1.0933E-22,1.1019E-22,1.2843E-24,1.2604E-24
0.00000066,1.2832E-22,1.2916E-22,1.1809E-24,1.1734E-24
0.000000665,1.5205E-22,1.5284E-22,1.0956E-24,1.1021E-24
0.00000067,1.8023E-22,1.8097E-22,1.0194E-24,1.0373E-24
0.000000675,2.1219E-22,2.1283E-22,9.5118E-25,9.786E-25
0.00000068,2.4529E-22,2.458E-22,8.9017E-25,9.2524E-25
0.000000685,2.7419E-22,2.7455E-22,8.3568E-25,8.7683E-25
0.00000069,2.916E-22,2.9179E-22,7.8703E-25,8.3294E-25
0.000000695,2.9161E-22,2.9163E-22,7.4362E-25,7.9317E-25
0.0000007,2.7386E-22,2.7375E-22,7.0495E-25,7.5722E-25
0.000000705,2.4393E-22,2.4375E-22,6.7057E-25,7.2479E-25
0.00000071,2.096E-22,2.0938E-22,6.4019E-25,6.9573E-25
0.000000715,1.7666E-22,1.7644E-22,6.1339E-25,6.6973E-25
0.00000072,1.4792E-22,1.4772E-22,5.8948E-25,6.462E-25
0.000000725,1.2399E-22,1.2381E-22,5.6802E-25,6.2477E-25
0.00000073,1.0452E-22,1.0436E-22,5.4853E-25,6.0504E-25
0.000000735,8.8777E-23,8.8642E-23,5.3063E-25,5.8668E-25
