lambda_in (m),xAbs1,xAbs2,xabs3,xAbs4
0.0000004,7.1515E-23,7.1447E-23,3.941E-23,3.9283E-23
0.000000405,7.0746E-23,7.0678E-23,3.8938E-23,3.881E-23
0.00000041,6.9977E-23,6.9909E-23,3.8522E-23,3.8392E-23
0.000000415,6.9173E-23,6.9106E-23,3.8106E-23,3.7974E-23
0.00000042,6.8313E-23,6.8246E-23,3.7692E-23,3.7559E-23
0.000000425,6.7426E-23,6.736E-23,3.7308E-23,3.7173E-23
0.00000043,6.6547E-23,6.6481E-23,3.6976E-23,3.684E-23
0.000000435,6.5703E-23,6.5638E-23,3.6827E-23,3.6689E-23
0.00000044,6.4883E-23,6.4819E-23,3.6946E-23,3.6806E-23
0.000000445,6.4069E-23,6.4005E-23,3.7206E-23,3.7063E-23
0.00000045,6.3237E-23,6.3175E-23,3.7466E-23,3.732E-23
0.000000455,6.2301E-23,6.224E-23,3.7647E-23,3.7499E-23
0.00000046,6.1229E-23,6.1171E-23,3.7827E-23,3.7678E-23
0.000000465,6.0201E-23,6.0146E-23,3.8059E-23,3.7909E-23
0.00000047,5.9398E-23,5.9345E-23,3.8406E-23,3.8254E-23
0.000000475,5.8925E-23,5.8875E-23,3.9058E-23,3.8901E-23
0.00000048,5.8678E-23,5.8629E-23,4.031E-23,4.0146E-23
0.000000485,5.8636E-23,5.8588E-23,4.2103E-23,4.1929E-23
0.00000049,5.8791E-23,5.8744E-23,4.4344E-23,4.4157E-23
0.000000495,5.913E-23,5.9084E-23,4.6913E-23,4.6711E-23
0.0000005,5.9989E-23,5.994E-23,4.9907E-23,4.9683E-23
0.000000505,6.1723E-23,6.1663E-23,5.3294E-23,5.3032E-23
0.00000051,6.3504E-23,6.3425E-23,5.5833E-23,5.5517E-23
0.000000515,6.4168E-23,6.4063E-23,5.6011E-23,5.5636E-23
0.00000052,6.2967E-23,6.284E-23,5.3382E-23,5.2958E-23
0.000000525,6.0305E-23,6.0166E-23,4.8939E-23,4.8484E-23
0.00000053,5.651E-23,5.6368E-23,4.3232E-23,4.2759E-23
0.000000535,5.2208E-23,5.2072E-23,3.7169E-23,3.6689E-23
0.00000054,4.8023E-23,4.7903E-23,3.1473E-23,3.0993E-23
0.000000545,4.4329E-23,4.4232E-23,2.6525E-23,2.605E-23
0.00000055,4.1192E-23,4.1123E-23,2.2419E-23,2.1952E-23
0.000000555,3.8543E-23,3.8505E-23,1.8982E-23,1.8524E-23
0.00000056,3.6347E-23,3.6345E-23,1.6091E-23,1.5643E-23
0.000000565,3.4572E-23,3.461E-23,1.3669E-23,1.3233E-23
0.00000057,3.319E-23,3.3273E-23,1.1646E-23,1.1223E-23
0.000000575,3.2183E-23,3.2314E-23,9.9598E-24,9.552E-24
0.00000058,3.1545E-23,3.1729E-23,8.5554E-24,8.1647E-24
0.000000585,3.1277E-23,3.1517E-23,7.3843E-24,7.013E-24
0.00000059,3.1338E-23,3.1638E-23,6.3961E-24,6.0467E-24
0.000000595,3.1703E-23,3.2066E-23,5.5618E-24,5.2368E-24
0.0000006,3.2346E-23,3.2773E-23,4.856E-24,4.5575E-24
0.000000605,3.3241E-23,3.3733E-23,4.257E-24,3.9869E-24
0.00000061,3.4356E-23,3.4911E-23,3.7457E-24,3.5055E-24
0.000000615,3.5649E-23,3.6263E-23,3.3071E-24,3.0978E-24
0.00000062,3.7052E-23,3.7719E-23,2.9251E-24,2.7466E-24
0.000000625,3.85E-23,3.9215E-23,2.5823E-24,2.4342E-24
0.00000063,4.0052E-23,4.0807E-23,2.2765E-24,2.1576E-24
0.000000635,4.1803E-23,4.2591E-23,2.0072E-24,1.9157E-24
0.00000064,4.3885E-23,4.47E-23,1.7733E-24,1.7071E-24
0.000000645,4.6496E-23,4.7332E-23,1.5738E-24,1.5304E-24
0.00000065,4.9918E-23,5.077E-23,1.4077E-24,1.3846E-24
0.000000655,5.4539E-23,5.5406E-23,1.2739E-24,1.2684E-24
0.00000066,6.0948E-23,6.183E-23,1.171E-24,1.1807E-24
0.000000665,6.9192E-23,7.0091E-23,1.0862E-24,1.1086E-24
0.00000067,7.9371E-23,8.0288E-23,1.0104E-24,1.0433E-24
0.000000675,9.2145E-23,9.3087E-23,9.4272E-25,9.8396E-25
0.00000068,1.0847E-22,1.0944E-22,8.822E-25,9.3007E-25
0.000000685,1.2974E-22,1.3076E-22,8.2818E-25,8.812E-25
0.00000069,1.5809E-22,1.5917E-22,7.7997E-25,8.3687E-25
0.000000695,1.9686E-22,1.9803E-22,7.3698E-25,7.9671E-25
0.0000007,2.5131E-22,2.5259E-22,6.9869E-25,7.604E-25
0.000000705,3.298E-22,3.3124E-22,6.6467E-25,7.2764E-25
0.00000071,4.4441E-22,4.4607E-22,6.3463E-25,6.9829E-25
0.000000715,6.1004E-22,6.1197E-22,6.0813E-25,6.7202E-25
0.00000072,8.3229E-22,8.3455E-22,5.845E-25,6.4825E-25
0.000000725,1.0685E-21,1.071E-21,5.6329E-25,6.2659E-25
0.00000073,1.1898E-21,1.1921E-21,5.4404E-25,6.0667E-25
0.000000735,1.096E-21,1.0979E-21,5.2637E-25,5.8813E-25
0.00000074,8.7091E-22,8.722E-22,5.0993E-25,5.7068E-25
0.000000745,6.4696E-22,6.478E-22,4.9445E-25,5.5408E-25
0.00000075,4.7546E-22,4.76E-22,4.7969E-25,5.3812E-25
0.000000755,3.5478E-22,3.5514E-22,4.654E-25,5.2257E-25
0.00000076,2.7092E-22,2.7118E-22,4.518E-25,5.0768E-25
0.000000765,2.1207E-22,2.1226E-22,4.3936E-25,4.9391E-25
0.00000077,1.6987E-22,1.7001E-22,4.2794E-25,4.8117E-25
0.000000775,1.3896E-22,1.3908E-22,4.1731E-25,4.6923E-25
0.00000078,1.157E-22,1.1579E-22,4.0735E-25,4.5796E-25
0.000000785,9.7772E-23,9.7854E-23,3.9789E-25,4.472E-25
0.00000079,8.3723E-23,8.3794E-23,3.8881E-25,4.3684E-25
0.000000795,7.2489E-23,7.2553E-23,3.8001E-25,4.2679E-25
0.0000008,6.3371E-23,6.3429E-23,3.7139E-25,4.1694E-25
