lambda_in (m),xAbs1,xabs2,xAbs3,xAbs4
0.0000004,7.4945E-23,7.4877E-23,3.941E-23,3.9283E-23
0.000000405,7.4141E-23,7.4073E-23,3.8938E-23,3.881E-23
0.00000041,7.3339E-23,7.3271E-23,3.8522E-23,3.8392E-23
0.000000415,7.2501E-23,7.2433E-23,3.8106E-23,3.7974E-23
0.00000042,7.1604E-23,7.1537E-23,3.7692E-23,3.7559E-23
0.000000425,7.0681E-23,7.0615E-23,3.7308E-23,3.7173E-23
0.00000043,6.9768E-23,6.9702E-23,3.6976E-23,3.684E-23
0.000000435,6.8897E-23,6.8832E-23,3.6827E-23,3.6689E-23
0.00000044,6.8062E-23,6.7998E-23,3.6946E-23,3.6806E-23
0.000000445,6.7238E-23,6.7175E-23,3.7206E-23,3.7063E-23
0.00000045,6.6396E-23,6.6334E-23,3.7466E-23,3.732E-23
0.000000455,6.5441E-23,6.5382E-23,3.7647E-23,3.7499E-23
0.00000046,6.4344E-23,6.4288E-23,3.7827E-23,3.7678E-23
0.000000465,6.3293E-23,6.324E-23,3.8059E-23,3.7909E-23
0.00000047,6.2479E-23,6.2429E-23,3.8406E-23,3.8254E-23
0.000000475,6.2026E-23,6.1979E-23,3.9058E-23,3.8901E-23
0.00000048,6.184E-23,6.1795E-23,4.031E-23,4.0146E-23
0.000000485,6.1903E-23,6.1859E-23,4.2103E-23,4.1929E-23
0.00000049,6.221E-23,6.2167E-23,4.4344E-23,4.4157E-23
0.000000495,6.2747E-23,6.2706E-23,4.6913E-23,4.6711E-23
0.0000005,6.3921E-23,6.3878E-23,4.9907E-23,4.9683E-23
0.000000505,6.6263E-23,6.6209E-23,5.3294E-23,5.3032E-23
0.00000051,6.8981E-23,6.8906E-23,5.5833E-23,5.5517E-23
0.000000515,7.0767E-23,7.0662E-23,5.6011E-23,5.5636E-23
0.00000052,7.0428E-23,7.0294E-23,5.3382E-23,5.2958E-23
0.000000525,6.8027E-23,6.7875E-23,4.8939E-23,4.8484E-23
0.00000053,6.3936E-23,6.3773E-23,4.3232E-23,4.2759E-23
0.000000535,5.8843E-23,5.8681E-23,3.7169E-23,3.6689E-23
0.00000054,5.3592E-23,5.3441E-23,3.1473E-23,3.0993E-23
0.000000545,4.8784E-23,4.8654E-23,2.6525E-23,2.605E-23
0.00000055,4.4629E-23,4.4525E-23,2.2419E-23,2.1952E-23
0.000000555,4.1073E-23,4.1E-23,1.8982E-23,1.8524E-23
0.00000056,3.8075E-23,3.8038E-23,1.6091E-23,1.5643E-23
0.000000565,3.5596E-23,3.56E-23,1.3669E-23,1.3233E-23
0.00000057,3.3594E-23,3.3642E-23,1.1646E-23,1.1223E-23
0.000000575,3.2031E-23,3.2128E-23,9.9598E-24,9.552E-24
0.00000058,3.0882E-23,3.1032E-23,8.5554E-24,8.1647E-24
0.000000585,3.0127E-23,3.0332E-23,7.3843E-24,7.013E-24
0.00000059,2.9703E-23,2.9968E-23,6.3961E-24,6.0467E-24
0.000000595,2.9574E-23,2.99E-23,5.5618E-24,5.2368E-24
0.0000006,2.9701E-23,3.0088E-23,4.856E-24,4.5575E-24
0.000000605,3.0046E-23,3.0495E-23,4.257E-24,3.9869E-24
0.00000061,3.0568E-23,3.1076E-23,3.7457E-24,3.5055E-24
0.000000615,3.1221E-23,3.1784E-23,3.3071E-24,3.0978E-24
0.00000062,3.1934E-23,3.2546E-23,2.9251E-24,2.7466E-24
0.000000625,3.2638E-23,3.3292E-23,2.5823E-24,2.4342E-24
0.00000063,3.3371E-23,3.4059E-23,2.2765E-24,2.1576E-24
0.000000635,3.42E-23,3.4914E-23,2.0072E-24,1.9157E-24
0.00000064,3.5213E-23,3.5947E-23,1.7733E-24,1.7071E-24
0.000000645,3.654E-23,3.7286E-23,1.5738E-24,1.5304E-24
0.00000065,3.8357E-23,3.9111E-23,1.4077E-24,1.3846E-24
0.000000655,4.09E-23,4.1658E-23,1.2739E-24,1.2684E-24
0.00000066,4.4506E-23,4.5267E-23,1.171E-24,1.1807E-24
0.000000665,4.907E-23,4.9832E-23,1.0862E-24,1.1086E-24
0.00000067,5.4486E-23,5.525E-23,1.0104E-24,1.0433E-24
0.000000675,6.0987E-23,6.1754E-23,9.4272E-25,9.8396E-25
0.00000068,6.8887E-23,6.966E-23,8.822E-25,9.3007E-25
0.000000685,7.8612E-23,7.9395E-23,8.2818E-25,8.812E-25
0.00000069,9.077E-23,9.1568E-23,7.7997E-25,8.3687E-25
0.000000695,1.0623E-22,1.0706E-22,7.3698E-25,7.9671E-25
0.0000007,1.2628E-22,1.2713E-22,6.9869E-25,7.604E-25
0.000000705,1.5282E-22,1.5373E-22,6.6467E-25,7.2764E-25
0.00000071,1.886E-22,1.8956E-22,6.3463E-25,6.9829E-25
0.000000715,2.3774E-22,2.388E-22,6.0813E-25,6.7202E-25
0.00000072,3.0657E-22,3.0775E-22,5.845E-25,6.4825E-25
0.000000725,4.0467E-22,4.0602E-22,5.6329E-25,6.2659E-25
0.00000073,5.449E-22,5.4647E-22,5.4404E-25,6.0667E-25
0.000000735,7.391E-22,7.4096E-22,5.2637E-25,5.8813E-25
0.00000074,9.7782E-22,9.7996E-22,5.0993E-25,5.7068E-25
0.000000745,1.1884E-21,1.1907E-21,4.9445E-25,5.5408E-25
0.00000075,1.2385E-21,1.2406E-21,4.7969E-25,5.3812E-25
0.000000755,1.0886E-21,1.0902E-21,4.654E-25,5.2257E-25
0.00000076,8.5187E-22,8.5301E-22,4.518E-25,5.0768E-25
0.000000765,6.3624E-22,6.3701E-22,4.3936E-25,4.9391E-25
0.00000077,4.7414E-22,4.7466E-22,4.2794E-25,4.8117E-25
0.000000775,3.5976E-22,3.6013E-22,4.1731E-25,4.6923E-25
0.00000078,2.7921E-22,2.7948E-22,4.0735E-25,4.5796E-25
0.000000785,2.2158E-22,2.2178E-22,3.9789E-25,4.472E-25
0.00000079,1.7955E-22,1.7971E-22,3.8881E-25,4.3684E-25
0.000000795,1.4812E-22,1.4826E-22,3.8001E-25,4.2679E-25
0.0000008,1.2413E-22,1.2424E-22,3.7139E-25,4.1694E-25
