lambda_in (m),xAbs1,xAbs2,xAbs3,xAbs4
0.0000004,8.1866E-23,8.1799E-23,3.941E-23,3.9283E-23
0.000000405,8.0995E-23,8.0927E-23,3.8938E-23,3.881E-23
0.00000041,8.0128E-23,8.0061E-23,3.8522E-23,3.8392E-23
0.000000415,7.9222E-23,7.9156E-23,3.8106E-23,3.7974E-23
0.00000042,7.8252E-23,7.8186E-23,3.7692E-23,3.7559E-23
0.000000425,7.7255E-23,7.7189E-23,3.7308E-23,3.7173E-23
0.00000043,7.627E-23,7.6206E-23,3.6976E-23,3.684E-23
0.000000435,7.5346E-23,7.5283E-23,3.6827E-23,3.6689E-23
0.00000044,7.448E-23,7.4418E-23,3.6946E-23,3.6806E-23
0.000000445,7.3637E-23,7.3576E-23,3.7206E-23,3.7063E-23
0.00000045,7.2771E-23,7.2713E-23,3.7466E-23,3.732E-23
0.000000455,7.1771E-23,7.1715E-23,3.7647E-23,3.7499E-23
0.00000046,7.0604E-23,7.0552E-23,3.7827E-23,3.7678E-23
0.000000465,6.9486E-23,6.9438E-23,3.8059E-23,3.7909E-23
0.00000047,6.8637E-23,6.8594E-23,3.8406E-23,3.8254E-23
0.000000475,6.8217E-23,6.8177E-23,3.9058E-23,3.8901E-23
0.00000048,6.8142E-23,6.8105E-23,4.031E-23,4.0146E-23
0.000000485,6.8394E-23,6.836E-23,4.2103E-23,4.1929E-23
0.00000049,6.8968E-23,6.8938E-23,4.4344E-23,4.4157E-23
0.000000495,6.9847E-23,6.982E-23,4.6913E-23,4.6711E-23
0.0000005,7.1595E-23,7.1569E-23,4.9907E-23,4.9683E-23
0.000000505,7.5157E-23,7.5122E-23,5.3294E-23,5.3032E-23
0.00000051,7.9932E-23,7.9877E-23,5.5833E-23,5.5517E-23
0.000000515,8.4553E-23,8.4465E-23,5.6011E-23,5.5636E-23
0.00000052,8.6989E-23,8.6861E-23,5.3382E-23,5.2958E-23
0.000000525,8.6286E-23,8.6125E-23,4.8939E-23,4.8484E-23
0.00000053,8.2697E-23,8.2506E-23,4.3232E-23,4.2759E-23
0.000000535,7.6671E-23,7.6464E-23,3.7169E-23,3.6689E-23
0.00000054,6.9394E-23,6.9184E-23,3.1473E-23,3.0993E-23
0.000000545,6.2099E-23,6.19E-23,2.6525E-23,2.605E-23
0.00000055,5.5503E-23,5.5325E-23,2.2419E-23,2.1952E-23
0.000000555,4.9702E-23,4.9552E-23,1.8982E-23,1.8524E-23
0.00000056,4.4705E-23,4.4591E-23,1.6091E-23,1.5643E-23
0.000000565,4.0493E-23,4.042E-23,1.3669E-23,1.3233E-23
0.00000057,3.7007E-23,3.6979E-23,1.1646E-23,1.1223E-23
