lambda_in (m),40-10,40-11,40-12,40-13
0.0000004,1.1826E-22,1.1815E-22,9.1207E-23,9.0954E-23
0.000000405,1.1693E-22,1.1682E-22,8.9906E-23,8.965E-23
0.00000041,1.156E-22,1.155E-22,8.8719E-23,8.846E-23
0.000000415,1.1423E-22,1.1412E-22,8.7517E-23,8.7256E-23
0.00000042,1.128E-22,1.1269E-22,8.6288E-23,8.6025E-23
0.000000425,1.1133E-22,1.1123E-22,8.5104E-23,8.4839E-23
0.00000043,1.0987E-22,1.0976E-22,8.4033E-23,8.3766E-23
0.000000435,1.0837E-22,1.0827E-22,8.3348E-23,8.3078E-23
0.00000044,1.0682E-22,1.0671E-22,8.3189E-23,8.2915E-23
0.000000445,1.0524E-22,1.0513E-22,8.3291E-23,8.3012E-23
0.00000045,1.0366E-22,1.0355E-22,8.3376E-23,8.3093E-23
0.000000455,1.0198E-22,1.0188E-22,8.3242E-23,8.2956E-23
0.00000046,1.0016E-22,1.0006E-22,8.302E-23,8.2733E-23
0.000000465,9.8392E-23,9.8297E-23,8.2917E-23,8.2629E-23
0.00000047,9.6909E-23,9.6818E-23,8.3156E-23,8.2866E-23
0.000000475,9.5791E-23,9.5702E-23,8.4106E-23,8.3808E-23
0.00000048,9.4838E-23,9.4749E-23,8.6224E-23,8.5914E-23
0.000000485,9.406E-23,9.397E-23,8.9336E-23,8.9009E-23
0.00000049,9.3467E-23,9.3375E-23,9.324E-23,9.2892E-23
0.000000495,9.3076E-23,9.2981E-23,9.7675E-23,9.7302E-23
0.0000005,9.3167E-23,9.3064E-23,1.0297E-22,1.0256E-22
0.000000505,9.3843E-23,9.3719E-23,1.0946E-22,1.0898E-22
0.00000051,9.4035E-23,9.3883E-23,1.1508E-22,1.1451E-22
0.000000515,9.283E-23,9.2648E-23,1.1758E-22,1.1692E-22
0.00000052,9.0311E-23,9.0109E-23,1.1627E-22,1.1553E-22
0.000000525,8.7349E-23,8.714E-23,1.1251E-22,1.1172E-22
0.00000053,8.424E-23,8.4033E-23,1.0755E-22,1.0672E-22
0.000000535,8.1436E-23,8.1241E-23,1.028E-22,1.0195E-22
0.00000054,7.9472E-23,7.9294E-23,9.9317E-23,9.8455E-23
0.000000545,7.7886E-23,7.7726E-23,9.7353E-23,9.6481E-23
0.00000055,7.6934E-23,7.6792E-23,9.5845E-23,9.4959E-23
0.000000555,7.6124E-23,7.6002E-23,9.5816E-23,9.491E-23
0.00000056,7.434E-23,7.4234E-23,9.3676E-23,9.2747E-23
0.000000565,7.1149E-23,7.1063E-23,8.9035E-23,8.8086E-23
0.00000057,6.633E-23,6.6271E-23,8.1458E-23,8.0492E-23
0.000000575,6.0685E-23,6.0669E-23,7.1422E-23,7.0455E-23
0.00000058,5.4494E-23,5.4528E-23,5.9935E-23,5.8984E-23
0.000000585,4.8966E-23,4.9067E-23,5.0166E-23,4.9252E-23
0.00000059,4.4238E-23,4.4411E-23,4.0848E-23,3.9984E-23
0.000000595,4.0517E-23,4.0769E-23,3.3033E-23,3.2228E-23
0.0000006,3.7762E-23,3.8089E-23,2.7566E-23,2.6829E-23
0.000000605,3.5467E-23,3.5871E-23,2.2817E-23,2.2153E-23
0.00000061,3.3672E-23,3.4146E-23,1.9042E-23,1.8453E-23
0.000000615,3.224E-23,3.2779E-23,1.6079E-23,1.5568E-23
0.00000062,3.1062E-23,3.1656E-23,1.3822E-23,1.3388E-23
0.000000625,2.9905E-23,3.0543E-23,1.1741E-23,1.1382E-23
0.00000063,2.8827E-23,2.9501E-23,1.0085E-23,9.798E-24
0.000000635,2.7865E-23,2.8563E-23,8.6657E-24,8.4456E-24
0.00000064,2.7027E-23,2.7739E-23,7.5157E-24,7.3571E-24
0.000000645,2.637E-23,2.7088E-23,6.5616E-24,6.4583E-24
0.00000065,2.5986E-23,2.6701E-23,5.7872E-24,5.7327E-24
0.000000655,2.5945E-23,2.6652E-23,5.1252E-24,5.1135E-24
0.00000066,2.6347E-23,2.7042E-23,4.6567E-24,4.6817E-24
0.000000665,2.7015E-23,2.7694E-23,4.2576E-24,4.3133E-24
0.00000067,2.7778E-23,2.844E-23,3.925E-24,4.0057E-24
0.000000675,2.8641E-23,2.9282E-23,3.6143E-24,3.7152E-24
0.00000068,2.9618E-23,3.0239E-23,3.3504E-24,3.4671E-24
0.000000685,3.0728E-23,3.1327E-23,3.1224E-24,3.2515E-24
0.00000069,3.1982E-23,3.256E-23,2.9134E-24,3.0517E-24
0.000000695,3.3396E-23,3.3954E-23,2.7377E-24,2.8827E-24
0.0000007,3.5029E-23,3.5567E-23,2.5762E-24,2.7259E-24
0.000000705,3.6886E-23,3.7405E-23,2.4287E-24,2.5813E-24
0.00000071,3.8995E-23,3.9497E-23,2.3044E-24,2.4586E-24
0.000000715,4.1409E-23,4.1896E-23,2.1947E-24,2.3494E-24
0.00000072,4.4122E-23,4.4594E-23,2.0951E-24,2.2494E-24
0.000000725,4.7162E-23,4.7621E-23,2.0105E-24,2.1637E-24
0.00000073,5.0596E-23,5.1042E-23,1.9292E-24,2.0807E-24
0.000000735,5.4436E-23,5.4872E-23,1.8568E-24,2.0062E-24
0.00000074,5.8734E-23,5.9161E-23,1.7905E-24,1.9374E-24
0.000000745,6.3574E-23,6.3993E-23,1.7269E-24,1.8711E-24
0.00000075,6.8985E-23,6.9398E-23,1.6701E-24,1.8114E-24
0.000000755,7.5073E-23,7.548E-23,1.6152E-24,1.7535E-24
0.00000076,8.1957E-23,8.2361E-23,1.5623E-24,1.6975E-24
0.000000765,8.9879E-23,9.0281E-23,1.5108E-24,1.6427E-24
0.00000077,9.9026E-23,9.9428E-23,1.4653E-24,1.5941E-24
0.000000775,1.0968E-22,1.1008E-22,1.4242E-24,1.5499E-24
0.00000078,1.2202E-22,1.2243E-22,1.3858E-24,1.5083E-24
