lambda_in (m),xabs1,xabs2,xabs3,xabs4
0.0000004,1.4287E-22,1.4274E-22,1.1794E-22,1.1761E-22
0.000000405,1.4126E-22,1.4113E-22,1.1606E-22,1.1572E-22
0.00000041,1.3963E-22,1.395E-22,1.1434E-22,1.14E-22
0.000000415,1.3797E-22,1.3784E-22,1.1259E-22,1.1225E-22
0.00000042,1.3626E-22,1.3613E-22,1.1082E-22,1.1048E-22
0.000000425,1.345E-22,1.3438E-22,1.091E-22,1.0876E-22
0.00000043,1.3274E-22,1.3262E-22,1.0755E-22,1.0721E-22
0.000000435,1.3093E-22,1.308E-22,1.0649E-22,1.0614E-22
0.00000044,1.2901E-22,1.2889E-22,1.0611E-22,1.0575E-22
0.000000445,1.2705E-22,1.2693E-22,1.0606E-22,1.057E-22
0.00000045,1.251E-22,1.2498E-22,1.0599E-22,1.0562E-22
0.000000455,1.2309E-22,1.2297E-22,1.0565E-22,1.0528E-22
0.00000046,1.2092E-22,1.2081E-22,1.0519E-22,1.0482E-22
0.000000465,1.1882E-22,1.1871E-22,1.049E-22,1.0453E-22
0.00000047,1.1702E-22,1.1691E-22,1.0506E-22,1.0469E-22
0.000000475,1.1559E-22,1.1549E-22,1.0614E-22,1.0576E-22
0.00000048,1.1431E-22,1.142E-22,1.087E-22,1.0831E-22
0.000000485,1.132E-22,1.131E-22,1.1253E-22,1.1211E-22
0.00000049,1.1233E-22,1.1222E-22,1.1733E-22,1.1688E-22
0.000000495,1.117E-22,1.1158E-22,1.2278E-22,1.223E-22
0.0000005,1.1158E-22,1.1145E-22,1.293E-22,1.2877E-22
0.000000505,1.1193E-22,1.1177E-22,1.3719E-22,1.3658E-22
0.00000051,1.1148E-22,1.1129E-22,1.4378E-22,1.4305E-22
0.000000515,1.092E-22,1.0897E-22,1.4624E-22,1.4539E-22
0.00000052,1.0533E-22,1.0508E-22,1.4392E-22,1.4297E-22
0.000000525,1.0106E-22,1.008E-22,1.3869E-22,1.3767E-22
0.00000053,9.6521E-23,9.6265E-23,1.3211E-22,1.3105E-22
0.000000535,9.2482E-23,9.2243E-23,1.2569E-22,1.2461E-22
0.00000054,8.9353E-23,8.9137E-23,1.2078E-22,1.1968E-22
0.000000545,8.7234E-23,8.7044E-23,1.1797E-22,1.1686E-22
0.00000055,8.6336E-23,8.6176E-23,1.1641E-22,1.153E-22
0.000000555,8.554E-23,8.5411E-23,1.1603E-22,1.1489E-22
0.00000056,8.5195E-23,8.5093E-23,1.1375E-22,1.126E-22
0.000000565,8.4526E-23,8.4456E-23,1.0811E-22,1.0693E-22
0.00000057,8.3074E-23,8.3027E-23,9.9416E-23,9.8224E-23
0.000000575,8.066E-23,8.0654E-23,8.6838E-23,8.5648E-23
0.00000058,7.676E-23,7.6794E-23,7.4174E-23,7.3009E-23
0.000000585,7.0971E-23,7.1049E-23,6.1772E-23,6.0651E-23
0.00000059,6.4017E-23,6.4153E-23,5.0856E-23,4.9797E-23
0.000000595,5.6509E-23,5.6715E-23,4.1403E-23,4.0419E-23
0.0000006,4.9764E-23,5.0051E-23,3.393E-23,3.3031E-23
0.000000605,4.4351E-23,4.472E-23,2.8678E-23,2.7871E-23
0.00000061,4.007E-23,4.0519E-23,2.3996E-23,2.3286E-23
0.000000615,3.6708E-23,3.723E-23,2.0388E-23,1.9777E-23
0.00000062,3.3961E-23,3.4547E-23,1.7369E-23,1.6858E-23
0.000000625,3.1595E-23,3.2234E-23,1.4997E-23,1.4583E-23
0.00000063,2.9533E-23,3.0213E-23,1.2875E-23,1.2553E-23
0.000000635,2.7724E-23,2.8432E-23,1.1081E-23,1.0845E-23
0.00000064,2.6179E-23,2.6906E-23,9.6373E-24,9.4811E-24
0.000000645,2.4929E-23,2.5663E-23,8.3855E-24,8.3003E-24
0.00000065,2.3976E-23,2.4709E-23,7.3706E-24,7.348E-24
