lambda_in (m),30-10,30-11,30-12,30-13
0.0000004,9.3118E-23,9.3026E-23,6.845E-23,6.8266E-23
0.000000405,9.2101E-23,9.2009E-23,6.7579E-23,6.7393E-23
0.00000041,9.1079E-23,9.0987E-23,6.6782E-23,6.6594E-23
0.000000415,9.001E-23,8.9918E-23,6.5972E-23,6.5782E-23
0.00000042,8.8875E-23,8.8783E-23,6.5142E-23,6.495E-23
0.000000425,8.7711E-23,8.762E-23,6.4335E-23,6.4142E-23
0.00000043,8.6545E-23,8.6455E-23,6.3615E-23,6.3421E-23
0.000000435,8.5401E-23,8.5311E-23,6.3174E-23,6.2977E-23
0.00000044,8.4241E-23,8.4152E-23,6.3132E-23,6.2932E-23
0.000000445,8.3068E-23,8.298E-23,6.3286E-23,6.3083E-23
0.00000045,8.1878E-23,8.1791E-23,6.3419E-23,6.3213E-23
0.000000455,8.0577E-23,8.0492E-23,6.3381E-23,6.3172E-23
0.00000046,7.911E-23,7.9027E-23,6.3263E-23,6.3053E-23
0.000000465,7.77E-23,7.762E-23,6.3228E-23,6.3018E-23
0.00000047,7.6555E-23,7.6478E-23,6.3448E-23,6.3236E-23
0.000000475,7.5772E-23,7.5697E-23,6.4217E-23,6.4E-23
0.00000048,7.5187E-23,7.5113E-23,6.587E-23,6.5645E-23
0.000000485,7.4758E-23,7.4685E-23,6.8286E-23,6.8049E-23
0.00000049,7.4486E-23,7.4412E-23,7.1308E-23,7.1056E-23
0.000000495,7.4347E-23,7.4271E-23,7.4734E-23,7.4466E-23
0.0000005,7.4669E-23,7.4589E-23,7.89E-23,7.8605E-23
0.000000505,7.5668E-23,7.5575E-23,8.419E-23,8.3849E-23
0.00000051,7.6482E-23,7.6369E-23,8.9088E-23,8.8682E-23
0.000000515,7.6284E-23,7.615E-23,9.1908E-23,9.143E-23
0.00000052,7.497E-23,7.482E-23,9.1815E-23,9.1277E-23
0.000000525,7.313E-23,7.2976E-23,8.9654E-23,8.9076E-23
0.00000053,7.1106E-23,7.0953E-23,8.661E-23,8.6004E-23
0.000000535,6.9114E-23,6.897E-23,8.344E-23,8.2813E-23
0.00000054,6.7551E-23,6.7422E-23,8.1157E-23,8.0517E-23
0.000000545,6.6439E-23,6.6326E-23,8.0338E-23,7.9685E-23
0.00000055,6.582E-23,6.5727E-23,7.9968E-23,7.93E-23
0.000000555,6.4835E-23,6.4763E-23,7.9753E-23,7.9063E-23
0.00000056,6.3352E-23,6.33E-23,7.8133E-23,7.7418E-23
0.000000565,6.1202E-23,6.1172E-23,7.462E-23,7.388E-23
0.00000057,5.7809E-23,5.7807E-23,6.7834E-23,6.7072E-23
0.000000575,5.3744E-23,5.3788E-23,5.9263E-23,5.8499E-23
0.00000058,4.9813E-23,4.9905E-23,4.995E-23,4.9197E-23
0.000000585,4.6311E-23,4.6467E-23,4.1262E-23,4.0535E-23
0.00000059,4.324E-23,4.3465E-23,3.3464E-23,3.2776E-23
0.000000595,4.1033E-23,4.133E-23,2.7005E-23,2.6364E-23
0.0000006,3.9654E-23,4.0027E-23,2.2246E-23,2.1657E-23
0.000000605,3.8831E-23,3.9277E-23,1.834E-23,1.7807E-23
0.00000061,3.8365E-23,3.8883E-23,1.5363E-23,1.4889E-23
0.000000615,3.8239E-23,3.8823E-23,1.283E-23,1.2415E-23
0.00000062,3.8294E-23,3.8937E-23,1.0998E-23,1.0641E-23
0.000000625,3.8435E-23,3.9128E-23,9.3701E-24,9.0696E-24
0.00000063,3.8632E-23,3.9365E-23,7.9911E-24,7.7449E-24
0.000000635,3.8938E-23,3.9704E-23,6.8804E-24,6.6847E-24
0.00000064,3.9469E-23,4.0257E-23,5.9102E-24,5.7612E-24
0.000000645,4.0311E-23,4.1113E-23,5.1494E-24,5.0424E-24
0.00000065,4.1657E-23,4.2467E-23,4.5144E-24,4.4447E-24
0.000000655,4.3671E-23,4.4484E-23,3.9971E-24,3.9602E-24
0.00000066,4.6694E-23,4.7507E-23,3.6228E-24,3.6142E-24
0.000000665,5.0564E-23,5.1375E-23,3.3233E-24,3.3385E-24
0.00000067,5.5074E-23,5.5881E-23,3.0454E-24,3.0803E-24
0.000000675,6.0349E-23,6.1152E-23,2.8136E-24,2.8644E-24
0.00000068,6.6594E-23,6.7394E-23,2.5906E-24,2.6543E-24
0.000000685,7.4089E-23,7.4888E-23,2.4113E-24,2.485E-24
0.00000069,8.317E-23,8.3971E-23,2.2524E-24,2.3339E-24
0.000000695,9.4306E-23,9.5115E-23,2.1063E-24,2.1936E-24
0.0000007,1.0797E-22,1.0879E-22,1.9795E-24,2.0712E-24
0.000000705,1.2546E-22,1.263E-22,1.8661E-24,1.9608E-24
0.00000071,1.476E-22,1.4847E-22,1.7658E-24,1.8624E-24
0.000000715,1.7643E-22,1.7734E-22,1.6802E-24,1.7779E-24
0.00000072,2.1384E-22,2.1481E-22,1.6E-24,1.6982E-24
0.000000725,2.6422E-22,2.6526E-22,1.5336E-24,1.6316E-24
0.00000073,3.3301E-22,3.3415E-22,1.4691E-24,1.5664E-24
0.000000735,4.2862E-22,4.299E-22,1.412E-24,1.5084E-24
0.00000074,5.6185E-22,5.6332E-22,1.3601E-24,1.4552E-24
0.000000745,7.5174E-22,7.5345E-22,1.3099E-24,1.4035E-24
0.00000075,1.0073E-21,1.0093E-21,1.265E-24,1.3569E-24
0.000000755,1.3172E-21,1.3195E-21,1.2192E-24,1.3094E-24
0.00000076,1.5817E-21,1.5842E-21,1.1789E-24,1.2672E-24
0.000000765,1.6366E-21,1.6389E-21,1.1416E-24,1.2279E-24
0.00000077,1.4411E-21,1.4429E-21,1.1054E-24,1.1898E-24
0.000000775,1.1383E-21,1.1395E-21,1.0731E-24,1.1554E-24
0.00000078,8.6275E-22,8.636E-22,1.0429E-24,1.1233E-24
0.000000785,6.5147E-22,6.5205E-22,1.0139E-24,1.0923E-24
0.00000079,4.9706E-22,4.9747E-22,9.8631E-25,1.0628E-24
0.000000795,3.8815E-22,3.8846E-22,9.5975E-25,1.0343E-24
0.0000008,3.0903E-22,3.0926E-22,9.3463E-25,1.0073E-24
0.000000805,2.5101E-22,2.5119E-22,9.0968E-25,9.8046E-25
0.00000081,2.0712E-22,2.0727E-22,8.8477E-25,9.5373E-25
0.000000815,1.7361E-22,1.7373E-22,8.6091E-25,9.2808E-25
0.00000082,1.4703E-22,1.4714E-22,8.357E-25,9.0111E-25
0.000000825,1.262E-22,1.2629E-22,8.1174E-25,8.7545E-25
0.00000083,1.0894E-22,1.0902E-22,7.8754E-25,8.4959E-25
0.000000835,9.4879E-23,9.4947E-23,7.6424E-25,8.2467E-25
0.00000084,8.3419E-23,8.3481E-23,7.4221E-25,8.0108E-25
0.000000845,7.3779E-23,7.3836E-23,7.1987E-25,7.7721E-25
0.00000085,6.5747E-23,6.58E-23,6.9886E-25,7.5472E-25
0.000000855,5.8812E-23,5.8861E-23,6.7766E-25,7.3209E-25
0.00000086,5.2973E-23,5.3019E-23,6.586E-25,7.1165E-25
0.000000865,4.7967E-23,4.8011E-23,6.4049E-25,6.922E-25
